Subsidiary,Planned_Courses,Completed_Courses,Course_Completion_Rate,Planned_Hours,Actual_Hours,Hours_Completion_Rate,New_Hire_Completed,New_Hire_Not_Completed,New_Hire_Pending,New_Hire_Total,New_Hire_Completion_Rate,EIP_Completed,EIP_Not_Completed,EIP_Total,EIP_Completion_Rate,GLP_Completed,GLP_Not_Completed,GLP_Total,GLP_Completion_Rate,New_Leader_Completed,New_Leader_Not_Completed,New_Leader_Total,New_Leader_Completion_Rate,Final Region,No.,JAM Member,Annual Plan Setup,New LMS Course,LMS Mission,Global L&D Council,Infra index response,Score
LGEPN,4,32,100.0,26207.3,17062.87,65.11,32.0,9.0,11.0,52.0,82.69,15.0,0.0,15.0,100.0,3.0,1.0,4.0,75.0,0.0,1.0,1.0,0.0,China,81,Y,Y,Y,Y,N,N,75
LGEME,2,9,100.0,1092.97,110.0,10.07,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,MEA Region,21,N,Y,N,N,N,N,74
LGETT,4,16,100.0,1447.5,728.6,50.34,9.0,0.0,3.0,12.0,100.0,9.0,0.0,9.0,100.0,5.0,1.0,6.0,83.33,0.0,5.0,5.0,0.0,Asia Region,98,Y,Y,Y,N,N,N,76
LGESL,8,26,100.0,1509.7,637.8,42.25,8.0,7.0,7.0,22.0,68.18,2.0,0.0,2.0,100.0,13.0,0.0,13.0,100.0,0.0,2.0,2.0,0.0,Asia Region,103,Y,Y,N,Y,N,N,74
LGECL,4,13,100.0,617.0,213.1,34.54,3.0,7.0,5.0,15.0,53.33,2.0,0.0,2.0,100.0,1.0,0.0,1.0,100.0,0.0,10.0,10.0,0.0,LATAM Region,39,Y,Y,Y,Y,N,N,68
LATVIA BRANCH,2,6,100.0,467.0,137.0,29.34,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,1.0,1.0,0.0,Europe Region,62,Y,Y,Y,Y,N,N,66
LGEVH,5,12,100.0,21697.0,21565.7,99.4,69.0,5.0,58.0,132.0,96.21,14.0,1.0,15.0,93.33,20.0,5.0,25.0,80.0,0.0,7.0,7.0,0.0,Asia Region,92,Y,Y,Y,N,N,N,88
LGENT,3,6,100.0,8212.0,1393.5,16.97,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,100.0,11.0,1.0,12.0,91.67,0.0,1.0,1.0,0.0,China,79,Y,Y,Y,Y,N,N,75
LGEPH,7,13,100.0,5073.0,906.2,17.87,11.0,10.0,8.0,29.0,65.52,4.0,0.0,4.0,100.0,15.0,1.0,16.0,93.75,0.0,1.0,1.0,0.0,Asia Region,90,Y,Y,Y,N,N,N,70
LGEMA,14,25,100.0,1569.0,950.5,60.58,11.0,1.0,0.0,12.0,91.67,11.0,0.0,11.0,100.0,4.0,0.0,4.0,100.0,0.0,4.0,4.0,0.0,Europe Region,53,Y,Y,Y,Y,N,N,83
LGEIN TANGGERANG FACTORY,9,16,100.0,2612.0,1394.7,53.4,10.0,1.0,0.0,11.0,90.91,10.0,0.0,10.0,100.0,1.0,1.0,2.0,50.0,0.0,3.0,3.0,0.0,Asia Region,94,Y,Y,Y,N,N,N,72
LGEML,7,12,100.0,3464.0,1766.5,51.0,8.0,0.0,0.0,8.0,100.0,3.0,0.0,3.0,100.0,10.0,0.0,10.0,100.0,0.0,2.0,2.0,0.0,Asia Region,97,Y,Y,Y,Y,N,N,79
LGEMN,6,10,100.0,9283.5,6503.95,70.06,0.0,2.0,1.0,3.0,33.33,9.0,0.0,9.0,100.0,6.0,0.0,6.0,100.0,0.0,6.0,6.0,0.0,LATAM Region,31,Y,Y,Y,Y,N,N,74
LGEIN,9,14,100.0,1516.5,934.0,61.59,2.0,2.0,6.0,10.0,80.0,11.0,0.0,11.0,100.0,8.0,1.0,9.0,88.89,0.0,4.0,4.0,0.0,Asia Region,102,Y,Y,Y,N,N,N,77
LGECH,6,9,100.0,2479.0,2584.8,100.0,5.0,2.0,2.0,9.0,77.78,13.0,0.0,13.0,100.0,15.0,0.0,15.0,100.0,0.0,4.0,4.0,0.0,China,83,Y,Y,Y,Y,N,N,86
ROMANIA BRANCH,7,9,100.0,134.0,132.5,98.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,Europe Region,66,Y,Y,Y,Y,N,N,100
LGEPS,7,9,100.0,6076.0,527.85,8.69,8.0,10.0,8.0,26.0,61.54,6.0,0.0,6.0,100.0,5.0,0.0,5.0,100.0,0.0,14.0,14.0,0.0,LATAM Region,38,Y,Y,N,N,N,N,70
LGEAF,12,15,100.0,636.0,260.48,40.96,2.0,0.0,0.0,2.0,100.0,1.0,0.0,1.0,100.0,4.0,0.0,4.0,100.0,0.0,3.0,3.0,0.0,MEA Region,24,Y,N,N,N,N,N,79
AUSTRIA BRANCH,9,11,100.0,606.0,172.5,28.47,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,Europe Region,65,Y,Y,Y,Y,N,N,84
LGENV,9,11,100.0,2847.0,1945.5,68.34,5.0,2.0,0.0,7.0,71.43,7.0,0.0,7.0,100.0,4.0,0.0,4.0,100.0,0.0,2.0,2.0,0.0,China,78,Y,Y,Y,Y,N,N,78
LGEGF,9,11,100.0,0.0,288.75,0.0,4.0,1.0,2.0,7.0,85.71,1.0,0.0,1.0,100.0,7.0,0.0,7.0,100.0,0.0,3.0,3.0,0.0,MEA Region,20,Y,Y,Y,N,N,N,72
LGEVH SALES SUBSIDIARY,11,13,100.0,144.0,758.8,100.0,5.0,9.0,6.0,20.0,55.0,10.0,3.0,13.0,76.92,7.0,1.0,8.0,87.5,0.0,3.0,3.0,0.0,Asia Region,93,Y,Y,Y,Y,N,N,76
